data	labels
@6uKorj8h0b623PX @jochen_mitschka Diese dümmlichen Parolen aus dem letzten Jahrtausend sind nur noch lächerlich. |LBR| Natürlich gefällt es den #Sozialisten nicht, dass ihre Mörderideologie jedesmal scheitert und jedesmal suchen sie andere wirre Ausreden, warum sie wieder einmal grandios gescheitert sind.	OFFENSE
@NegohotShlomo @Frank_Pasemann Pubertierende masturbierende Pickelträger...kein Wunder das deutsche Mädels keine deutsche Jungs wollen....!	OFFENSE
@KathaSchulze Ich bin begeistert. Daher möchte ich sie bitten , die Jobcenter anzuweisen , Frauen auch für dreckige Arbeiten wie Müllfrau oder zum Hof fegen und Dreck weg machen in Parks, auf dem Bau für Hilfsarbeiten , zum Straßen fegen und Müll sortieren in der Zeitarbeit heranzuziehen.	OTHER
@platypus803 Materialforschung für T-Shirts nannte das heutejornal heute Abend schwärmend als ein Beispiel von Gersts Experimenten. Offenbar ist so etwas Läppisches schon einer der Leuchtturmprojekte für die Medien.	OTHER
@gollwitzer Vielleicht sollte jeder Politiker im Bundestag mal den Koran lesen. Lesen bildet!	OTHER
Lieber @MartinSchulz, liebe @spdde, fast ein Vierteljahr nach der Bundestagswahl erwarten die Menschen zu Recht, dass Ihr nicht ergebnisoffen mit #Merkel dahin verhandelt, sondern eine gerechte Politik in der neuen #Bundesregierung durchsetzt. Glück auf!	OTHER
@JoeyGerlach Die AFD wäre ohne diesen Mann besser dran. Unsympathisch und sein Goebbels Gehabe ist nicht gerade das was diese Partei ausmacht. PS. Kein Wähler weder Rot Schwarz noch Grün Links schon gar nicht.	OFFENSE
@RayWiggel @RegSprecher @cducsubt @BMI_Bund @AfDKoeln @Alice_Weidel ...ach so...ich bin aber auch humorlos😊 |LBR| #Kika #HR #DiaaMohammedAli	OTHER
Grenze kontrollieren und jeden unrechtmäßigen Einreiseversuch |LBR| notfalls mit Waffengewalt verhindern. Die jungen Afrikaner müssen zurück.	OFFENSE
Menschen wie Volker Kauder sollten für ihre Aussagen gegen das GG vor den Kadi gezerrt werden!	OTHER
@Harald70199 @KarinBrix Die Hamas war schon immer ein Terroristen Verein. Das hat sich bis heute nicht geändert.	OTHER
@wichsfloete finde beide sind kranke ottos aber leider stirbt diese stadt langsam vor sich hin.	OFFENSE
@InfoOetken @DaimagM Ich, ja ..und BOT ..haste vergessen!.. eure sinnfreie deutschfeindliche Kackscheisse hat ihre Zähne verloren... schön Gruss von einer ehemaligen Linken.. die IHR Gesicht nicht zeigt... sich aber eure merkt.. Knutschi	OFFENSE
@TimZeelen Tja, Ihre Chefin hatte sich entschieden, Schwarz-Grün mit FDP-Stimmen zu versuchen... das ist nun die Folge... CL	OTHER
"Wenn wir den """"Schiffbrüchigen"""" konsequent den Weitertransport nach |LBR| Europa verwehren, werden sie das den anderen per Handy melden."	OTHER
"""Wir laden ein: Vortag """"Das Konzept 'sicherer Herkunftsstaat'"""" mit RA M. Kabis. 08.03., 19 Uhr, Bahnhof Langendreer, Bochum."""	OTHER
"@aloa5 @SPIEGELONLINE Naja. |LBR| Korrekt wäre eher: |LBR| ""Das Bild, das nach dieser Kontroverse von der politischen #Klimasekte bleiben wird, ist ein schwer beschädigtes"""	OFFENSE
Ich wundere mich immer wieder wieviele dumme Menschen es in Deutschland gibt. 70 Jahre Gehirnwäsche hat ihre Spuren hinterlassen.	OFFENSE
"Sicherlich werden die linken Wirrköpfe und die Antiamerikaner auch von pösem ""#RegimeChange"" faseln, wenn die Bürger endlich das kommunistische #Mörderregime von #Nordkorea abschütteln."	OFFENSE
@MartinaSchein @KotzenderStern Es scheint keine schweigende Mehrheit in #chemnitz zu geben	OTHER
@wolkenfluff @bullenschubser @kokaxcola ich lache so doll weils einfach wahr ist.	OTHER
@sanddrn Danke. Ulrich Oehme, den hatte ich jetzt nicht auf dem Schirm.	OTHER
Seehofer garantiert nach der Wahl eine Flüchtlingsobergrenze 😂😂😂😂😂 Steht der Bayer ohne Eier etwa trocken? 😂😂😂😂😂	OFFENSE
@Spuelverfahren Das die sich nicht schämen. Das ist der Skandal und der Unterschied zwischen aufhübschen und betrügen !	OTHER
@anna_IIna Der arme... Trauma jeden Tag, Sehnsucht nach Familiennachzug, kein eigenes Haus...nachvollziehbar...!	OFFENSE
@JuliaKloeckner Was machen Sie eigentlich gegen Neonazis und Rassismus? Lobbyarbeit für Bayer und rheinland-pfälzische Winzer hilft hier höchstwahrscheinlich eher nicht <U+0001F914>	OTHER
@focusonline Die FDP hat doch Eier in der Hose.	OTHER
@SchmiedWilhelm @RitaWerner7 Ich denke nicht, denn Sarrazins Buch erscheint im FinanzBuch Verlag und Höcke kommt zum Manuscriptum Verlag, wegen des Buches von S. Hennig.	OTHER
@emrich_5933 @DuHugonotte @CDU Wo war das Merkel‘sche Entsetzen beim „Unfall“ in Cuxhaven? Wahrscheinlich weil kein Politiker betroffen war!	OTHER
@SuperSitges2 Waren es Bullterrier oder doch nur Pudel..?	OTHER
@StSchilling75 @Cha_Knobloch Im Vergleich zum Großteil der friedlichen Muslimen stellen diese Radikalen nur einen Bruchteil dar, den es zu vermindern gilt. Durch Pauschalisierung seitens der AfD wird aber das genaue Gegenteil erreicht!	OTHER
@Nordhessische @sduwe @L_Bednarz Und ich Dummerle dachte diesen unreflektierten und einfältigen Kommentar habe ein Schulkind verpasst. Dabei kommt er von der Nordhessischen Zeitung. Was für ein intellektuelles Armutszeugnis.<U+0001F926><U+0001F3FE><U+200D><U+2640><U+FE0F><U+0001F926><U+0001F3FD><U+200D><U+2642><U+FE0F>	OTHER
"@Kittypunk7 @Tinimaus1110 Wenn die SPD und die USPD 1922 in München die Abschiebung Hitlers nicht blockiert hätte , wäre es zu wahrscheinlich nicht uim Holocaust und all den anderen Kriegsverbrechen, vielleicht noch nicht mal zum 2. Weltkrieg gekommen. Hitler war als ""Staatenlos"" geführt."	OTHER
Folgt mal alle den Kameraden @ExilHartzer	OTHER
"""@Volker_Beck:""""Wenn es um Israel geht in der Völkergemeinschaft und bei internationalen Organisationen, ist es immer einseitig."""" #DILK16 @WHO"""	OTHER
@DSR3000 WAS IST DAS FÜR EINE IDIOTISCHE KACKSCHEISSE?! |LBR| Merkste SELBER!	OFFENSE
@KrahMax ...er ist viel zu eitel um nicht Erfolg zu haben... |LBR| Unsere Art ist aber eine Respektlosigkeit dem Amt gegenüber	OTHER
@AntaroTV Ja, weil Merkel dann abdeschossen wäre, wenn so ein Unding zustande käme, wäre wohl Voraussetzung für Koa. .	OTHER
Unsere Maiziere lobte heute d. Fußfessel als das Ding 😂😂😂 Fakt ist, wer untertauchen will ist innerhalb v. wenigen Min weg, so`n Schwachsinn	OTHER
"@_Migraene_ @Trinchen312 @Grace30714933 @CoYoSilver @ph_phanuel @RalfTHeuer @Venum27004632 @chris_98763 @ChisNoria @assassina36 @wellejena @Bibby182 @bine1007 @Iamcovar @AufgewachteWelt @EngelGert @Lukas64F @Ron1872 @Ungebeten1 @PTroll3 @_Apuleius @LouisPeterle @machata9 @Ich_hake_nach @n59_puppche @KoyamaMichi @Cherylli18 @BoteDesUnrechts @ASiegwart @freitweeter @OdmantSuperstar @Lanyihunter1 @smuelle26677552 @MaXanonymous @Johannes135 @FredKrger2 @Connybub @heidi1274 @pseudros @Strandvogt3 @MadameSchwarzi @Hausfrau4ever @Robert19594 @Invictu53409591 @Vigilant__A @estathor @Metalwilli @willplaat @2018Wahrheit Was ich zB an Ossis schätze ist, dass viele diesen perfiden Cult Marx Doppeldenk und Neusprech sofort und blitzschnell durchschauen. |LBR| Man kennt das. |LBR| Das macht den rotgrünen Funktionären und (Neo) SEDlern, Merkelianern Angst. Deshalb wohl auch ""dunkeldeutsch"" Diffamierung."	OTHER
@Macbeth0815 @Grals_Hueter @DasNoch @wiederDaIchBin @Nightmanager6 @dtpmaker @MiriamOzen @VonSchwer @MatthiasFux @bazonline Strafantrag stellen. Wir wollen das. Suchen aber noch Anwälte und Menschen die diese Klage unterstützen.	OTHER
@osthollandia @AndreasStraub @GWinkl Der hätte aber VIEL VIEL eher vor Gericht stehen müssen!	OTHER
@Kathamarinaa verstehe deine hoffnung, aber nein smash ultimate	OTHER
@BrosiusRolf @Grals_Hueter @RegSprecher Das Heer ehemaliger Soldaten die im Kalten Krieg gekämpft haben. Ist jederzeit in der Lage diese Regierung zu stürzen.	OTHER
@der_fisch001 Geht mir genauso. Die wurden uns einfach eingeimpft. |LBR| Und Peter Alexander und Udo Jürgens haben bei mir einen kleinen Stein im Brett.	OTHER
Frau Knoblochs Oma wurde im KZ umgebracht. |LBR| Ich habe meine Oma nie kennengelernt. Erschöpft von Bombenkrieg und Flucht starb sie mit 47 Jahren. Ihren sieben Kindern verbat sie als Nazigegnerin die HJ-Mitgliedschaft. |LBR| Warum gilt Frau Knobloch als Opferenkel und ich als Täterenkel?	OTHER
@antifascistfox wir sind nur zum kuscheln da, eure furry antifa	OTHER
Neue Spuren belasten Beamten und V-Mann-Führer A. Temme: Schmauchspuren auf seinen Handschuhen entsprechen denen der NSU-Mordserie #NSU #VS	OTHER
Wird der rote #Maddin heute abdanken und sich in für Würseler Bücherei zurück ziehen? Der #Schulz Zug steht schon dort aufm Abstellgleis😁	OTHER
@wichsfloete otto wer so macht, nur meine meinung	OFFENSE
Leyen sei doch mal ehrlich ,dafür habt ihr doch eure Goldjungen importiert	OTHER
Sorry, aber die SPD, die für das PAG in NRW mitverantwortlich ist, ist auch nur noch Schmutz. Und jetzt feiern sie sich für irgendwelche Nichtigkeiten, die abgeändert worden sind. Pfui.	OFFENSE
@joernk24 @Thedare79 @SteinbachErika Richtig...wir sind nicht schuld |LBR| Die vor uns allerdings schon..!	OTHER
@ainyrockstar @welt Die Frauen die nach Geschäftsschluss mit öffentlichen Verkehrsmitteln nach Hause fahren müssen tun mir leid.und wenn man dann durch Käfertal und Viernheim nach Weinheim fahren muss hat man das Gefühl die RNV fährt durch den Kongo.	OFFENSE
@DiePolierer @ArwenMagdalena Diese Warnung hat die heutige #SPD längst vergessen!	OTHER
@Karl_Lauterbach Karl, kümmere dich um deine Partei. Gibt jeweils genug zu tun, damit es irgendwann eine Alternative zur #SchwarzenAmpel gibt @Karl_Lauterbach	OTHER
@nullachtk @Thorste1499 Ach... blocken tue ich nur sehr selten. Ich kann wunderbar ignorieren <U+0001F643>	OTHER
@Reconquista979 @atadic13 @SawsanChebli @faz_donalphonso Sawsan sollte nicht unbedingt schreiben...weil es zu Verwirrungen führen könnte und weil ihr Analphabeten-Fanclub es eh nicht entziffern kann...	OFFENSE
@RAIMINEM Vllt mach ich mir ein.vid me Account aber aufs geld verzicht ich will ja kein Jutuber werden sondern nur für meine Community videos produzieren	OTHER
@adfc_Segeberg @FahrradClub Könnte sein. Danke für den Hinweis! Wir geben das weiter.	OTHER
@krk979 @traumdiebe @ulfposh Noch ein Fehlgesteuerter mehr, der Mut mit Leichtsinn verwechselt u. eine zerstrittene EU aufwerten will 😂😂😂	OTHER
Am Flughafen werden nur 200 DemonstrantInnen in das Terminal gelassen. Im Moment läuft noch die Kundgebung vor dem Flughafen #blockupy	OTHER
Super Idee von mir auf der Feierabendrunde durch die Eifel zu fahren. Teilweise war der gesamte Waldweg an mehreren Stellen über 5 oder 10 Meter Länge ne komplette Eisfläche <U+0001F92A>	OTHER
@spdbt Was ist wenn es in manchen Teilen von DE keine demokratische Mehrheit mehr gibt?	OTHER
Endlich ist es vorbei mit dieser Besinnlichkeit. Endlich wieder Zeit sich aufs Rad zu setzen und Menschen im vorbeifahren anzupöbeln. Huuuuiiiii <U+0001F6B4><U+200D><U+2642><U+FE0F><U+0001F4A8>	OTHER
@focusonline Jeder Rational klar denkender Mensch weis das es nur 2 Geschlechter gibt. Männlich /Weiblich. Alles andere kann man getrost als einen Gehirn Furz bezeichnen.	OFFENSE
Schulz, spar Dir Dein dummes Gelaber. Es geht nicht um Verteilung, sondern um |LBR| Rückführung, verdammt nochmal. Es sind Invasoren ohne Rechte.	OFFENSE
@DieselMeister @DidiFreiheit Steuern für Kinderlose fördern ist kein Hass, aber unklug. Denn es würde - was jetzt schon ein Problem ist - die Vermehrung jener Bevölkerungsgruppen fördern, die nur aus finanziellen Gründen Kinder haben, und diese zu verwahrlosten DummBürgern erziehen.	OFFENSE
Die Zahl arabischer Rekruten in der israelischen Armee steigt rasant. Die @BBC hat eine Dokumentation über sie gedreht. #Israel @BBCArabic	OTHER
@burghard_r Stegner kämpft für seine politischen Ansichten mit offenen Visier.	OTHER
@aloa5 Nein. In Berlin gibt es zwar derzeit die sich im Bau befindliche Verlängerung der A100. Diese ist aber nicht in 2016 oder 2017 fertig gestellt worden.	OTHER
Und der FETTE Gabriel verkauft Waffen an die Urheber der ganzen Scheiße, nämlich die Saudies. Möchte mal wissen was er von Lobby bekam !!	OFFENSE
@anna_IIna @AlexF1973 Wie? Dieses Pack wird doch von der Bundesregierung finanziert!! Das ist Merkels privat Armee! Hitler hatte auch Schläger Trupps!	OFFENSE
@SirSchnee @IsidorMeyer1 Weil die gestörten Deutschen sich alles gefallen lassen obwohl sie die Macht hätten es zu ändern	OTHER
@Rebellin70 @Hollstein63 ...wie kann man eine angebliche 15cm Schnittwunde mit einem 5cm Pflaster abdecken..? |LBR| ...das ist der Stoff aus dem Filme gemacht werden...fragt @_fatihakin_	OTHER
Hey #Aachen, um Missverständnisse zu vermeiden: wir haben heute tatsächlich geschlossen. Kommt gut in die Woche!	OTHER
Experte und Politiker ist ein Widerspruch in sich, denn beide lügen allzu oft für Macht und Geld.	OFFENSE
Donald Trump ist ein Großmaul, das die Fakten zu den verkauften Autos |LBR| in D und USA nicht kennt. Er möge sein Maul halten.	OFFENSE
Es ist zu kalt Khajiit friert	OTHER
Alle meine Ziele für heute erreicht dank dem Miracle Morning <U+0001F4AA> Jetzt dann Dschungelcamp von gestern und anschließend Handball <U+0001F37B>	OTHER
glaube hat ganz gut geklappt	OTHER
@FreierDiskurs @Tomsch24 @Georg_Pazderski Frau Weidel besteht bis zum heutigen Tag weder auf eine Unterlassung noch auf einen Widerruf. Zudem spricht Ihr Anwalt nicht mehr von Fälschung. Mehr braucht es zu diesem Thema nicht.	OTHER
#GroKo = weiter so geht nicht. Lügenbande.	OFFENSE
@mrohrlack Zwei Texte, auf zwei Seiten. Deutlich unterschieden. Klarer kann Bericht und Kommentar gar nicht getrennt sein.	OTHER
@RvrsApacheMastr @Renft1964 Die Grünen, die aus einem kriegsfreien Land Syrien noch mehr Sozial-Touristen (und evtl. tausende Terroristen und sonstige Kriminelle) holen wollen, ist ein extreme deutschfeindliche 8,9%-Partei! Wird Zeit diese Idioten zu verb	OFFENSE
Beilagen auf dem Teller. |LBR| Diese KACKSCHEISSE kommt doch wieder von euch SITZPISSENDEN WEIBERN, weil ihr euch für NIX entscheiden wollt!!	OFFENSE
@mastermikeg @_macmike @petpanther0 @machtjanix23 @NoHerrman @teite99 @info2099 @lifetrend @ThomasGBauer @SchmiddieMaik @AthinaMala @charlie_silve @willjrosenblatt @feldenfrizz @nasanasal @ellibisathide @MD_Franz Ich schicke es Dir nachher von zu Hause, da habe ich hebräische Tastatur.	OTHER
Ist schon merkwürdig wie die linksgrünen Nazis immer mehr Einfluss auf Europa nehmen.	OFFENSE
@KokoLores20 @MiriamOzen Die Frage sei erlaubt...wie können Asylanten auf regulärem Weg in ihr Heimatland zurück ohne Spuren zu hinterlassen? |LBR| Märchenstunde?	OFFENSE
@krippmarie @jouwatch Es vergeht ja echt kein Tag mehr wo diese SPD, die Linken und die Grünen nicht mit total bescheuerten , verfassungsfeindlichen , provokativen Forderungen aus dem Strauch kommen. Die provozieren Bürgerkrieg.	OFFENSE
@DrWetti Haben Sie den Artikel gelesen?	OTHER
@michael_seyfert @mittelfinger „Nazi“ scheint das neue Modewort zu sein! Bei Denkfaulheit passt es auf jeden!	OTHER
ja das ist was Kinder so aufem kindergartenspielplatz so anstellen und daraus ist der glaube der Moslems endstanden.	OFFENSE
gute Nacht, Tweeps.	OTHER
Im #Genderwahn der Stadt Hannover muss das örtliche Theater Goethes Hauptwerk nun wohl wie folgt anpassen: |LBR| Faust: |LBR| Mein schönes Fräulein, darf ich wagen, |LBR| Meinen Arm und Geleit Ihr anzutragen? |LBR| Margarete: |LBR| Bin kein Fräulein, sondern divers, |LBR| Ihre weiße Altmännersprache ist pervers.	OTHER
"@franzchristian8 Nur ist die Treuhand seine Idee, die er wieder aus der """"Vor-Nazizeit"""" aufleben ließ 😜"	OTHER
@jouwatch @krippmarie Schlimm genug in solch einer Position als unglaubwürdig zu gelten...und trotzdem weiter beschäftigt zu werden...! |LBR| @AnjaReschke1	OFFENSE
@RT_Deutsch Interessiert das wirklich noch jemanden was die in Reih und Glied sitzenden verzapfen..?	OTHER
@megatwingo @eysvog3l Was meinst Du wie lange es braucht, dass Twitter von diesen vermeintlich meldewürdigen tweets von meldewütigen pussies dermaßen den Papp aufhat.Die Sperre solcher siffmoralischen Dauermelder wird kommen,-da bin ich sicher.Und dann gnade ihnen Twitter-Gott.😉 |LBR| #NetzDG	OFFENSE
@tagesschau Öffentlich-rechtlichen Nazi Medien und Merkel Vasallen setzten ihre Hetzkampagne gegen den Präsidenten der Vereinigten Staaten fort!!	OFFENSE
@DrDavidBerger @Rebellin70 Bald....für den Migranten-Wahn lassen die Deutschen gerne die Hüllen fallen... |LBR| Alles über Bord samt Hirn...	OFFENSE
@Andvaka_ @FrancisMalevil Ein Königreich für eine Nadel! <U+0001F60B>	OTHER
Ab 3.20 Uhr (Winterzeit/4.20 Uhr Sommerzeit) ist das AZ wieder geschlossen. Kommt gut durch die Nacht! Und vergesst Sonntag nicht den Gesa-Support: @AcGesa! #endegelaende #aachen #hambacherforst #aachen @Ende__Gelaende @HambiBleibt @EAHambi @MahnwacheHambi	OTHER
"...ach ja, Quelle: |LBR| Amt für öffentliche Ordnung Stuttgart |LBR| ""Team Ausnahmeregelung"" |LBR| Sachbearbeiterin Frau H. |LBR| (vollständiger Name bekannt)"	OTHER
@Juergen_Fritz Unser überqualifizierter Islam-Lehrer (durch H.Böll hierher gekommen, vom WDR entlassen; durch seine Sendung mit armenischen Liedern zur persona non grata für die Türkei geworden) sagt: „ die Türken bringen ihre „Kultur“ aus Hinteranatolien in einer Dose mit und öffnen die hier!	OTHER
@vronixi @BejuBinich Engländer...nicht immer als Vordenker bekannt, aber die haben das Waffengesetz oder Messergesetz perfekt gelöst. |LBR| Härtere und schwere Bestrafung..sollte auch bei uns sein..!	OTHER
Dortmund haut wieder auf die Kacke ! Die wollen die ganzen Braunhäutigen verjagen mit dem Slogan BUNT STATT BRAUN !! BRAVO !!!	OFFENSE
@AfD_Support Für den zensierten Scheiss auch noch mehr bezahlen? So eine Unverschämtheit.Freie Senderwahl ich bezahl nur die Sender die ich sehen will.	OFFENSE
@winterfrank35 Darf ich als Deutscher keine Russen mögen?	OTHER
MERKEL MUß WEG !! UND DAS SCHNELL UND RÜCKSTANDSLOS !! DIESER GRÖßENWAHNSINNIGE ALKOHOLIKER SCHULZ DARF HIER NICHTS ZU SAGEN HABEN, AUßER IN DER GESCHLOSENEN! DAS DARF DOCH ALLES NICHT WAHR SEIN !	OFFENSE
@LandauDaniel Stimmt, Österreich muss mittlerweile hinnehmen dass Moslems in Wien zur Schlachtung der Juden aufrufen. Aufruf zum Völkermord!	OFFENSE
@zeitrafferin <U+0001F926><U+200D><U+2642><U+FE0F>Danke.	OTHER
@thunderpure_ @kokaxcola das ist eindeutig kein Kriterium (ist ja nicht auf meinem finger hehe)	OTHER
@Neverends2017 Gleich = mit gleichwertig gemeint. Klar sind Frau und Mann nicht gleichgeformt, sondern unterschiedlich :)	OTHER
#AfD meint, dass sie sich als Partei gegen #Antisemitismus stark macht. @Beatrix_vStorch macht oft genug Werbung für einen rechtspopulistischen #Philosemitismus. Als Jude kann ich diesen Schmonzes nicht glauben, weil ich den #Judenhass von #Gedeon, #Gauland &amp; #Höcke kenne! #NoAfD	OTHER
@UWeltin Bisher weiß man noch nichts Genaues.	OTHER
@UlrichHenning2 @weissrot aber darum geht es doch gar nicht	OTHER
@HulyaHulyab Dann verzichtest du doch erstmal auf deinen Jahresurlaub, verkaufe dein Auto und sonstigen unnötigen Luxus. Da kommt bestimmt auch ne schöne Summe zum spenden zusammen.	OTHER
@MatthiesenUwe @NorgePrivacy WEIDEL KLASSE ! HAT DEN POLITundJOURNALIENABSCHAUM zu RECHT abgehakt und verlassen!ZDF = LÜGENSENDER ! Jetzt wohl bewiesen !	OFFENSE
Warum verbieten wir den Afrikanern nicht die illegale Einreise nach |LBR| Deutschland? Klar und hart durchsetzen. Das muss doch erfolgreich |LBR| sein.	OTHER
@karina_zuerich Dennoch- und egal wo, einen tollen, sicheren! und fröhlichen Rutsch.Möge Gott uns alle beschützen.	OTHER
Gute Nachricht für die Engländer: Diesmal scheiden sie nicht durch Elfmeterschießen aus!	OTHER
Hat #maaßen mittlerweile eigentlich belastbare Beweise für seine Aussagen vorgelegt?	OTHER
@StrasserGregor @Falklandfuchs Ist kein Leben mehr. |LBR| Entweder Verantwortliche an Laternen baumeln oder Selbstmord.	OTHER
@Louiecrit „Suhlen“ ist richtig. Irgendwie schmierig und unecht. Die Schuld vor 80 Jahren ist aufgearbeitet, sie wird uns immer verfolgen und wir werden hoffentlich aus ihr unsere Lehren ziehen! — Die Zukunft zu gestalten und heutige Gefahren zu sehen und zu verhindern ist VIEL schwerer!	OTHER
Löschung von rund 30% meiner Tweets, und seien sie noch so harmlos. |LBR| Leute, Ihr macht Euch lächerlich. Ist Euch das nicht zu elend? |LBR| <U+0001F92A><U+0001F923><U+0001F605><U+0001F602>	OTHER
@Resistance20176 @Ralf_Freytag Kinderpornographie wie bei der versifften SPD kommt besser?....😃😃	OFFENSE
(3) Sexismus beginnt oft schon lange, bevor es strafbar wird. Respekt beginnt bei der Sprache. Auch bei sexualisierter Gewalt gilt: Erst kommen die Worte, dann die Taten. #EndViolenceAgainstWomen	OTHER
@RegSprecher jetzt macht der Vasall Merkel auch noch Werbung für die Telekom😂😂😂	OFFENSE
Parteienwahlkampf &gt;&gt;&gt; Ich fühle mich richtig eingelullt, Versprechen, Vorhaben, hätten, könnten, wollten - wie immer, nichts als LÜGEN 😜	OTHER
@AfD_Kompakt Eine Regierung ohne Sachverstand und EIGENE Werte wird nicht handeln 😜	OTHER
@MPKretschmer Treten Sie einfach zurück und sparen Sie sich Ihre Tweets.Danke!	OTHER
@jreichelt @BILD @richvolkmann Das hättet ihr schon letzte Woche veröffentlichen müssen , aber auf Druck der Internet-Medien seht ihr euch gezwungen heute zu veröffentlichen!Erbärmliche Unterschlagungs-Presse!🤮	OFFENSE
@hab_mein_nick @MiriamOzen Scheiss Messer...echt ne linke Sache, aber ich gehe auch nicht ohne..!	OTHER
@MariamLau1 @martinklin Nochmal: Nirgends im Text ist ersichtlich, dass die Aufteilung in Schutzkategorien eben nicht für die - als erstes Beispiel gewählten - Familien in Gr. gilt. Es ist einfach eine andere Debatte. Mag nicht beißen, hinkt aber.	OTHER
Wir brauchen von den Ja-Wählern für das Sultanat nicht die türkischen |LBR| Pässe, sondern sie sollen die österreichischen Pässe zurückgeben.	OFFENSE
Hallo Piepser, nachtblind, übermüdet, bis früh um 5 Disco im SC Neubrandenburg gemacht, muss ihnen wohl gefallen haben. Alter Mann ist müde😜	OTHER
@MariusWKoehler @Tomsch24 @Georg_Pazderski Die Beschreibungen von Differenz ist nicht das Problem (auch wenn es keine homogenen Kulturen gibt), sondern die politischen Forderungen, die daraus abgeleitet werden.	OTHER
@Maxe8888 @PLATOSCAVE007 Kabalah ist die jüdische Geheimlehre, Sephirot ist der Lebensbaum - sehr sehr umfangreiches Thema, Freimaurer arbeiten auch damit	OTHER
Faszinierend, wie sich einfach niemand vorstellen mag, dass es einfach so viele Arschlöcher auf der Welt gibt und stattdessen Fabeln von Bots &amp; Co herhalten müssen	OFFENSE
@ThomasOppermann Wäre für euren türkischen, deutschfeindlichen Kollegen, auch angebracht!	OFFENSE
"""Merkel: """"Möglichst viele Menschen in Arbeit bringen""""??? Sie u. ihre korrupte CDU-Bande meinen doch ARMUT 😜"""	OFFENSE
"@RegSprecher """"Bürgerpressekonferenz?"""" Alles vorher ausgesuchte Merkel-Fans, mit 40er IQ!!"	OTHER
@Dauerquerulant Sie meinte, ich solle die Mäuse allein fangen - zu flink die Viecher, ich würde verhungern 😂	OTHER
Deutschland gehört NUR den Deutschen! Und eure zeitweisige Duldung und Ausbeutung unserer Sozialgelder, ist abgelaufen! via @HuffPostDE	OTHER
@SJW_MadBunny @NoHerrman @HolgerScherer @feldenfrizz @AthinaMala @info2099 @Nessie43 @ThomasGBauer @petpanther0 @_macmike @ellibisathide @MD_Franz Habe Blick. ch vergessen und Blick am Abig😂😂😂😂	OTHER
Der Familiennachzug ist voll im Gang es sind dann alles Härtefälle wir werden m Muslimischen Großfamilien beglückt faulen Zauber beenden AFD	OTHER
"""Hallo Freunde, der """"Fette Donnerstag"""" (vor d. Karneval-Wochenende) ist in Polen ein herrlicher Tag 😜 dicke Pfannekuchen von früh bis spät 😂"""	OTHER
An alle, die sich gern über die religiösen Gefühle anderer lustig machen: Ohne Christentum müsstet ihr heute arbeiten! In diesem Sinne wünsche ich einen schönen 2. Weihnachtsfeiertag.	OTHER
@Kelticca Unbedingt Verpixeln. Wer das unterlässt bringt antifaschistische Aktivist*innen zusätzlich in Gefahr. Das ist doch nun allgemein bekannt. Herrje.	OTHER
@APosener Fragen Sie Hillary. Die kennt sich besser mit diesem Kerl aus.	OTHER
