label	text_a	rule
0	"A ovo je poraz trenera Tuchela,koji gle cuda uvodi Cavanija u 91min nadajuci se cudu.
Ocito su njemci vjecni luzeri,a pri tom mislim i na meni dragog Kloppa koji isto tako kada vodi ne zna sacuvat rezultat. Cavani je bio ozljeden,al kada imas nepovoljan rezultat od 1-2 i znas da te primljeni gol udaljava od LP ne znam sto cekas?!
Cavanija je trebao ubacit zadnjih 15min. SKroz kriva selekcija igraca i trener snosi ogorman dio krivnje. Dozvoliti da ti Utd kreira sanse iz sredine je nedopustivo.Znaci vezni red PSG kao da nije postojao.Destruktivci(ako ih i ima uopce) su se totalno pogubili. Marquinos je bio totalno los,Rabiot izbacen,davno vec Matuidi pusten. Paredes igrac manje,a trebao je unijeti cvrstinu. Treneru otkaz!!!"	1
0	Sta djeca mogu znat	
0	"Google sada plaća $ 17000 do $ 22000 mjesečno za rad NA mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam 20544 dolara u prvom mjesecu od ovog posla.

>>>>>>>> www.WebJob33.Com"	1
0	tocno se vidi da ga ljubi kao ja listic na kojem sam dobio 42 000 kuna	1
0	"A kad se umiješa policija opet će cviliti kako je upotrebljena prevelika sila na nevinim ""navijačima"""	
0	Podrška predsjednici.Već će ona uhvatiti pravi kurs 	
0	Ubila ga dolores	5
0	popovi su se oteli kontroli.krajnje je vrijeme da se vrate u svoje kućice	
0	Sexualno-edukativni dokumentarac?	1
0	Jadna državo........ btw zašto ljudi koji imaju najmanje, uvijek imaju najveće srce? Svaka čast ženi...	
0	Ma da svi svaki dan kunu odvojimo, mozda nebi bilo bolesnih, al tako je kako je..	
1	RIP Astori.	8
0	Teski recidivist na ulici.. i to onaj koji je prijetio policajcima da će ih ubiti.. majketimile..	
0	Kako to?	1
0	Prijavit ću vas DORHU zbog nadrilječništva!	5
0	astrid cada jos nije uocila gresku 😂😂😂😂	
0	fast and furious dubrovnik	
1	Ostao sam bez komentara, ovakav članak pišu djeca u 5 razredu osnovnu, koja je poanta članka.	8
0	Ricinusom ode van, sve su to probe, kao one japanske injekcije kvadratni cm 400 iglica i ne osjetis nista, kod doktora!	
0	Mati moja ova Matea nije normalna..al mu kvoca stari moj makni se od toga....	
0	Oba roditelja su mi umrla od raka. Sistem je jednostavan: Krepaj što prije.	
0	"Svatko može zaraditi 750 $ dnevno ... Možete zaraditi od 16000-32000 mjesečno ili čak i više ako radite kao puno radno vrijeme ... To je jednostavno, samo slijedite upute na ovoj stranici, pažljivo pročitajte od početka do kraja ... To je fleksibilan posao, ali dobra eaning prilika. Za više informacija posjetite stranicu.......


➤➤➤➤➤➤➤➤➤➤➤➤➤➤➤➤➤➤➤    w­w­w.I­n­t­e­r­n­e­t­4­3.C­o­m"	5
0	"koga i što  je taj ""lovac"" sam lovio u 2:45???"	
1	I ti I admin mi mozete ceškati jajca,kreteni😘	8
0	Jos jedna domoljubna hadezeovka nije pregledana u Vrapču.	
0	"Google sada plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće.Priddružio sam se ovom poslu prije 2 mjeseca i zaradio sam 20544 dolara u prvom mjesecu od ovog posla. 

------------>>>>>>  w­­w­­w.I­­n­­t­­e­­r­­N­­e­­t­­4­­3.C­­o­­m"	1
1	Ja instalirao IPTV, j*bite se operateri i HRT 😘	6
1	Užas jedan...... ma to mora da su cd romovi...... samo oni imaju djece na bacanje	8
0	"Google sada plaća $ 17k do $ 22k mjesečno za rad na mreži od kuće.Pridružio sam se ovom poslu prije 4 mjeseca i zaradio sam 20549 dolara u prvom mjeseecu od ovog posla. 

---------->>>>   www.webjob99.com"	1
0	hoce li  reagirati babe........žabe.....ili bilo ko za zastitu muskaraca	
0	jesu li lijepe ?	
1	Konjina	8
0	Hvala Bogu nikad nista nisam polomio. Ali ovo samo kad pogledas odma slabost dodje. Uhh	
0	VOLIM TE! 	1
0	j.p.m.	
1	Vidi se da si glup!	8
1	bakreni	8
0	Sve je to na rubu...kad su na tv-u nasi ministri ili plenkovic i kolinda(najvise se izlazu u medijima)na pitanje novinara o odredenim problemima i na koji ih nacin misle rijesiti njihovi odgovori uvik zapocinju jednako:pripremili smo,zapoceli smo,pokrenili smo...a nikad ne naprave nista korisno	
0	Bolje da su povećali jaja konju na Jelačić placu.	
0	Najbolja preventiva spolnih bolesti je odgovarajuca higijena i pazljvo birati dobre partnere sa kvalitetnom genetikom koja nije sklona bolestima.Uvijek trazite snagu u svojim partnerima.Ako netko izgleda bolestan onda je najsigurnije da se drzite daleko od njega ili nje.	1
1	Nisu babe za volan. Samo kuhača i metla	8
0	Dalma i Pliysken,ljubav koju dajemo jedina je ljubav koja nam ostaje!#;)	1
0	jako dobar čaj	
1	Opet su izgleda roditelji ti koji su svojim monstruoznim ponašanjem stvorili ili barem u velikoj mjeri pridonijeli stvaranju ubojice i psihopata. Kao i kod slučaja Komšić. Pa dobro zašto se nitko od obitelji žrtava ne osveti tim monstrumima od njegiovih roditelja? Zašto ste takve ovce koje šišaju i kolju gdje god stignu, a bojite se i pisnut?	8
1	Pustite dijete na miru degenerici. Dijete ni nezna sta je reklo,nije svijesno rijeci.Pazi,djetetu policiju poslat da ovaj svijet ide u ludilo.Sramota za skolu i razmazenu uciteljicu manijaci	8
0	Tupan	
0	Hm, zakaj nije letio? Bilo bi mu brže.	1
0	Pa nije previse umro je Bog umrlo je vise od covjeka, nije to sto je Srbin pa vas to sve smeta, covjek ima same hitove, u svim kafićima u Hrvatskoj cuje se njegova glazba, ne samo ova zadnja (cajke) vec i ona narodna, covjek je dobio od Arapa zlatnu krunu od čistog zlata, za njih je on bio kralj te su ga okrunili, nije on bilitko, pa bio u Srbin nije, i zaslužuje da ga se veliča ne tjednima vec stoljećima, veći je od icega bio Saban Saulic!	
0	Ja sam se molio Harry Potteru.	1
0	"
DR.WHOO - lupetaš! Tko god kaže da je Tuđman prodao Vukovar nema pojma o doktrini, strategiji i taktici ratovanja. Istočna Slavonija i Vukovar bili su mamac za ZNG, kasnije HV s tri cilja: a) psihološki pritisak na okupirana područja; b) podijeliti državu, a time i raspoloženje na zaraćeni i nezaraćeni dio; c) mamac da se na Vukovar pošalju sve raspoložive snage, a onda izvrši proboj iz tzv. Sektora zapad i zatvori tzv. Virovitičko Banjalučki pravac. Vukovar jeste grad heroj, no moraš znati da se u ratu povremeno i privremeno gube dijelovi teritorija. Za obranu teritorija možeš biti i do 10 puta slabiji. Za napadna djelovanja poželjno je biti desetak puta moćniji. Moral je presudni čimbenik. Hrvatski moral pobijedio je četničku nadmoć u oružju. 
 "	
0	Želiš pronaći ženu za jednu noć? Dobrodošli na > > > www.3xDate.top	1
0	kill	1
0	Svašta	
1	Nufes dobio crveni sto ne novinar polupismen	8
0	&ldquo;Najveća stvar koju će biti te&scaron;ko fizički objasniti, bila je izgradnja Titanica, koja je bila od 1913. do 1917. godine. Oni su izgradili puno brodova, jer u tom trenutku svi veliki vremenski putnici bi se manifestirali u Dublinu, manifestirali bi se svuda na Irskim otocima, tako da su kvalificirani metalni radnici bili tamo, jer Titanic je bio velika, velika, velika potreba u vremenskim trakama. Metal koji je do&scaron;ao u Irsku bio je očaran ENERGIJOM irskih otoka, i kada je plovio oceanom, to je bio vrlo pozitivan događaj. I to je razlog za&scaron;to je potonuo sa svim onim bankarima koji su bili na njemu. To je bilo masivno uspostavljanje vremenskih traka koje bi čak slomile otpor irskih energija koje su se poku&scaron;avale ponovno povezati sa svetom geometrijom re&scaron;etki s velikim plovilom koje je bilo izgrađeno irskim rukama.&rdquo; &ldquo;Ti brodovi su prenosili energiju Irske preko oceana i povezivale je s raznim svetim geometrijskim sustavima i oni su zapravo poku&scaron;avali suprotstaviti se prisilnom zaustavljanju sustava svete geometrije s ogromnim metalnim rezonirajućim brodom. Znam da je to ogromno. Ti dečki iz projekta vremenskih traka će biti bijesni na mene, ali je vrijeme da se kaže istinu.&rdquo;	1
0	Hahaha, ma necu da budem poznata😂 pa je, kraljica je nema tu sta!😁 od kuda? Pa od kcere, bog te ma**o😂😂😂	1
0	Nemoj širiti mržnju prema Albancima, za to imaš svoje portale	
0	Evo ga . Cameo tražimo vozače. Dovoljna b kategorija mogu i penzioneri. Korištenje auta u privatne svrhe. To im je oglas koji vrte.	
0	Svaka čast!naši direktori svojim radnicima za 20 godina vjernosti i predanoga rada obično daju - otkaz.	
0	Ovom se jos vazelin vidi na glavi. Tesko je glavu izvuc iz guzice.	
0	"Ovo je najbolji posao KOji Google sada plaća. Dobio sam prvi mjesec od 27936 eura za rad 3 sata dnevno. Počeo sam prije četiri mjeseca i odmah sam kući odnio najmanje 7645 eura na 9264 eura tjedno.

------- >>>>> www.WebJob33.Com"	1
0	Sad su imaginarna bica kriva za neodgojena derišta?? Lol 	1
0	Cirkus oko ničega...	
1	koji drugi život osim one jadne cure? Ova će kuja brzo na slobodu, a vidi&scaron; da je niti ne peče savjest.	8
0	"Google sada plaća $ 17000 do $ 22000 mjeSečno za rad na mreži od kuće.Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam $ 20544 u pRvom mjesecu od ovog posla.Mogu reći da je moj život promijenjen. 

---->>>> www.WebJob33.Com"	1
0	Tko zna šta on voli...	
0	Si se odmorio na bloku, ljubitelju prvog bijelog polja	
0	"Na prvu sam procitao ""Kapsula Dragan"" , kavu sam ispljunio skoro. "	
0	Predsjednica brine o svom zdravlju. Bravo. Vas problem nije gdje je ona isla i kako je platila.	1
0	Ništa on nije izgubio za 8 godina, pa naši biseri imaju kasu, novaca za bacanje. Šta će njima biti 10 miliona kuna odštete. 	
0	Tad mi bude 92 tako da sam vec pod zemljom.	
1	Nije vama lako... pola vas su istospolci, ali lajete na gay pride po zadatku...strijelac, ak dobro gađaš, daj mi skini s grbe ovog priljepka...stalno mi njuška oko prkna... plaćam cijeli sendvić, ne samo parizer...	8
0	"Google sada plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam $ 20544 u mom prvOM mjesecu od ovog posla.

 ------>>>> www.WebJob33.Com"	1
0	Hey bozanstvena.Budi mi dobro.	1
0	Najavljuje se godisnji rast BDP-a od 2,3% sto nije malo, na razini EU ocekuje se rast od 1,9%	1
0	Ne !	
0	"Google sada plaća od 17.000 do 22.000 dOlara mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio $ 20544 u mom prvom mjesecu ovog posla.

---->>>>> www.WebJob33.Com"	1
1	Jadno....	8
0	Zločinačka se je formirala nakon njegove smrti, Franjo je bio jedan jedini iskreni i pošteni domoljub i HDZ-ovac, problem je što se oko njega okupio lešinarski šljam a on nije imao VREMENA birat u to doba, morao je radit što  se moralo sa onima koji su tu. To ti govori netko ko nikad nije niti nebi za HDZ-SDP glasao.	1
0	Novu dekleraciju nema druge.	
0	Udbina. Pa neka probaju zabraniti.....	
0	misliš li tu na crveni fašizam tzv komunizam i genocidnu demokraciju (bleiburg)?	
0	Više vrijedi ova Biblija nego 10 liječnika.	1
0	Ovo ko da citas cenzus/popis stanovnistva  : postotak nepismenih i maloumnih u RH. Koji mogu ovakve podrzavat. 	
1	Ako vam se mlate ljudi u dresovima cetnicke zvezde, sto se ne provozate do gorskog kotara i Vukovaru, tamo ih ima ko govana, a niko nista ne poduzima?!	8
0	Dosta o Goranu! Dajte nam malo Lazića!!	1
0	Da, uzas. Sad nam srbi nece ostaviti te silne milijune u sezoni.	
0	Ovaj mladi dečko bi trebao dobiti strožu kaznu za dva napisana slova, oni koji su popljačkali državu gule krumpire a on bi ipak trebao odslužiti kaznu u zatvoru..	
0	Mičite ovaj kvazi sport sa tv ekrana!!!!!!	
0	I ja san žalostan jer Nemogu nikako shvatiti kako ovu itko u Hrvatskoj može slušati .A još sam više žalostan da ova srpska  folk cajkaška tzv diva ima članak u hr portalima .A o glazbi ,kvaliteti glazbe itd nema potrebe trošiti riječi .O moralu dotične osobe da ne govorimo . Žalostan sam do te mjere da me duša boli ......Di ova država ide triba se dobro zamisliti ....	1
1	Ima triper	8
0	Ne mislite možda da se skrivaju od ljudi s razlogom?ne razumijem potrebu nas ljudi da sve moramo vidjeti i gurati nos gdje mu nije mjesto...ovo je prirodno blago i tako treba ostati...	
0	"Izrađujem više od 7 tiSuća dolara mjesečno radeći skraćeno radno vrijeme.Čula sam da mi drugi ljudi govore koliko noVca mogu zaraditi na internetu,pa sam odlučio da ga pogledam.Pa,sve je to bilo istina i potpuno je promijenilo mOJ život.

----------www.WebJob33.Com"	1
0	Je ako ti je povijest trajala od 2003. do 2005.	1
0	Lajk 👍👍	1
1	Šumadinac se zaigrao pa opomenu dobio	8
0	to ona samo vuće za nos vas 'ograđene ' . U suštini , srce joj je uvijek uz dom i domovinu !!	
0	Koliko zla,bijesa,negative ,crnih misli covjek moze imati u sebi da digne ruku na drugu osobu. Zapita li se taj **** ikad kako je njoj,kakve je posljedice ostavio djeci...da bude jos zalosnije kazne su nikakve,upravo iz tih razloga podrzavam akciju jelene veljace. Dokad cemo vise sutit ,okretat glavu na bilo kakvu vrstu nasilja???	
0	Ne izgleda mi baš ko da ima 54 kg trenutno	
0	Један је Дуци Тадић	7
0	Nadam se da ovo čeka i našu troglavu alu.	
1	Udba&scaron; i jugonostalgičar	8
0	Izbori za europski parlament samo će ojačati poziciju Plenkovića i HDZ-a jer će nakon pobjede nad ovakvom (nikakvom) oporbom imati još veći legitimitet u radu i mirnije dočekati redovne izbore u RH!	1
0	"Google sada plaća 17000 do 22000 dolara mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjesEca i zaradio sam 20544 dolara u prvom mjesecu od ovog posla. 

........->>>>> www.WebJob33.Com"	1
1	Dvije, tri krmače roknut među njih......	3
0	Izgleda da se sedmi pecat otvorio. Nema jos puno vremena  . . .	
0	Sad će okrivit državu &scaron;to mu nije darovala stan na vi&scaron;em katu....	5
0	Google sada plaća $ 17000 do $ 22000 mjesEčno za rad na mreži od kuće.Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam $ 20544 u prvom mjesecu od ovog posla.Mogu reći da je moj život promijenjen. ---->>> www.WebJob33.Com	1
0	Svejedno je koga će poslati. Obje su pjesme odlične i stvar je do ukusa. Najbitnije je da se ne osramotimo.	
0	I oce li uopce biti u zatvoru kada mu se zbroji ovo sto je vec bio?	
1	govedo jedno masno,da mu glava nije šuplja imala bi vlastitu gravitaciju	8
1	Samo u glavu treba rokat !	8
0	pop je posvećivao kuću svake godine i nije primjetio vraga u kući?	5
0	Naravno da nije psovka kad se HDZovci razgovaraju na takav nacin, to je njima kao dobar dan ...	
